question,reference,source,base_pred,ft_pred,base_rouge_l,ft_rouge_l,base_bleu,ft_bleu,base_semantic_sim,ft_semantic_sim,base_judge_score,ft_judge_score
What changes are being made to the old M&E systems at the regional and district levels?,"The old M&E systems at the regional and district levels will be restructured into appropriate mechanisms at the sub-national levels, helping track the local achievement of SDGs.",Nepals-SDG-Status-and-Roadmap-2016-2030-1684515827_15.pdf,"I'm not aware of any recent changes to the old M&E (Monitoring and Evaluation) systems at the regional and district levels in Nepal. However, I can provide some general information on the current M&E systems in Nepal and the efforts to reform them.

In Nepal, the Ministry of Education (MoE) has been working to strengthen the M&E systems at various levels, including the regional and district levels. The MoE has been implementing the ""National Education Quality Improvement Plan"" (NEQIP) since 2017, which aims to improve the quality of education in Nepal.

Regarding the regional and district levels, the MoE has","The old M&E systems at the regional and district levels are being replaced with a new system, which will be based on the needs of the projects and will be more effective in monitoring and evaluating the projects. [Source: Universalizing-Clean-Energy-in-Nepal-1684516044_18.pdf]",0.2406015037593985,0.38961038961038963,0.26039471518402746,0.5232645474684553,0.47933856,0.68432915,4.0,4.0
नेपाल राष्ट्र बैङ्कले तोकेको मापदण्डको अधीनमा रही बैकिङ्ग व्यवसाय सञ्चालन गर्ने व्यक्तिले जोखिम व्यहोर्ने कोषमा कति प्रतिशतसम्मको रकमलाई खर्चको रूपमा कट्टी गरिनेछ ?,पाँच प्रतिशतसम्म,आर्थिक-अध्यादेश-२०५९.pdf,"नेपाल राष्ट्र बैङ्कले तोकेको मापदण्डको अनुसार, बैकिङ्ग व्यवसाय सञ्चालन गर्ने व्यक्तिले जोखिम व्यहोर्ने कोषमा कति प्रतिशतसम्मको रकमलाई खर्चको रूपमा कट्टी गरिनेछ, त्यासम्मा 10% सम्म रकमलाई खर्चको रूपमा कट्टी गरिने होइन। 

नेप",दफा ९५ को उपदफा (१) बमोजिमको कट्टी गरिने रकम प्रतिशतसम्मको हुन्छ । [Source: आर्थिक-अध्यादेश-२०५९.pdf],0.0,0.0,0.0602986145647985,0.12348086796129697,0.34528977,0.5080209,1.0,1.0
What was the percentage change in Gross Domestic Savings in the fiscal year 2002/03 compared to the previous fiscal year?,The percentage change in Gross Domestic Savings in the fiscal year 2002/03 compared to the previous fiscal year was -11.3%.,Economic-Survey-02-03.pdf,"I am unable to provide the exact percentage change in Gross Domestic Savings in the fiscal year 2002/03 compared to the previous fiscal year. 

However, I can suggest some possible sources where you may be able to find this information:

1. The Central Bureau of Statistics (CBS) of Nepal, which is the primary source of statistical data in Nepal, may have published the data on Gross Domestic Savings for the fiscal year 2002/03.
2. The Government of Nepal's Ministry of Finance or the Department of Economic Affairs and Organizing Committee of the National Planning Commission may also have published the data on Gross Domestic Savings for the","The percentage change in Gross Domestic Savings in the fiscal year 2002/03 was 0.1 percentage points higher than the previous fiscal year, with a value of 24.1% in 2002/03. [Source: Economic-Survey-02-03.pdf]",0.28787878787878785,0.5573770491803278,0.1814764427228095,0.550286233413579,0.7329474,0.8934531,1.0,3.0
What are the key modalities adopted by the Nepali government to promote universal access to clean and affordable energy?,"The government adopted a holistic approach that includes the promotion of diverse sources of energy, various modalities for urban and rural populations, and ensured local involvement and sharing of benefits with effective social and environmental assessments. Additionally, it increased its own investment, promoted private sector involvement and foreign direct investment (FDI) with incentives and priority facilitation.",National-Review-of-Sustainable-Developme-1684554160_15.pdf,"According to the Government of Nepal's policies and initiatives, the key modalities adopted to promote universal access to clean and affordable energy are:

1. **Renewable Energy Development Act, 2019**: This Act aims to promote the development and use of renewable energy sources, such as solar, wind, and hydroelectric power, to reduce dependence on fossil fuels and increase access to clean energy. (Source: Government of Nepal, Ministry of Energy, Water Resources and Irrigation, ""Renewable Energy Development Act, 2019"")
2. **National Energy Policy, 2016**: This policy sets out the framework for the development","The key modalities adopted by the Nepali government to promote universal access to clean and affordable energy include the development of hydropower, solar power, wind power, and biomass power, with a focus on grid extension and off-grid solutions. Additionally, the government has established a National Renewable Energy Policy, and a Road Map for the achievement of the SDG 7 has been developed. [Source: National-Review-of-Sustainable-Developme-1684554160_15.pdf]",0.13513513513513511,0.14062500000000003,0.5561657480501041,0.6597546521431319,0.50612605,0.61018825,2.0,2.0
"नेपाली कानुनी दस्तावेजबाट, आयकर बाहेक कुनै पनि व्यक्तिको कर लाग्ने छैन भन्ने शब्दहरू कुनै कानुनी दस्तावेजमा राखिएका छन् ?","कमनचारी संचयकोर् ऐन, २०१९, नेपाल पेट्रोमलयम ऐन, २०४०, मनवृखत्त कोर् ऐन, २०४२, नागररक लगानी कोर् ऐन, २०४७, नेपाल  ववज्ञान िथा प्रववमध प्रज्ञा प्रमिष्ठान ऐन, २०४८, र औद्योमगक व्यवसाय ऐन, २०४९मा आयकर बाहेक कुनै पनि व्यक्तिको कर लाग्ने छैन भन्ने शब्दहरू राखिएका छन् ।",आयकर-ऐन-२०५८.pdf,"नेपाली कानुनी दस्तावेजबाट, आयकर बाहेक कुनै पनि व्यक्तिको कर लाग्ने छैन भन्ने शब्दहरू निम्नलिखित कानुनी दस्तावेजमा राखिएका छन्:

1.  नेपाल कानुनसमिति (नेपाल कानुन, 1769) - [1]
2.  नेपाल कानुनसमिति (नेपाल कानुन, 2017) - [2","यस अनुच्छेदमा 'यस अनुच्छेदमा कुनै कानुनी दस्तावेजमा राखिएका छन्' भन्ने शब्दहरू राखिएका छन्, जसको अर्थ हो कि यस अनुच्छेदमा कुनै कानुनी दस्तावेजमा उल्लेख गरिएको छ। [Source: आयकर-ऐन-२०५८.pdf]",0.0,0.0,0.47033388447832863,0.3246907974908269,0.64589304,0.48825666,1.0,5.0
"What is the estimated production of tea in the current FY 2078/79, and how does it compare to the production in FY 2020/21?","The estimated production of tea in the current FY 2078/79 is 28,200 metric tons, which is an increase of 19.0 percent compared to the production in FY 2020/21, which was 23,800 metric tons.",Economic-Survey-21-22.pdf,"I'm not aware of the current production of tea in the FY 2078/79. My knowledge cutoff is December 2023, and I do not have access to real-time data. I can, however, provide information on the tea production in Nepal for the FY 2020/21.

According to the Central Bureau of Statistics (CBS) Nepal, the production of tea in the FY 2020/21 was 1,433.8 million kilograms. (Source: Central Bureau of Statistics, Nepal. (2022). Agriculture Sector Review 2021-22.)

However, I couldn't find any information on the","The estimated production of tea in the current FY 2078/79 is 1,000 MT, which is lower than the production in FY 2020/21, which was 1,100 MT. [Source: Economic-Survey-23-24.pdf]",0.2769230769230769,0.6216216216216216,0.32616789625060016,0.7348133874201188,0.6618314,0.7945138,2.0,2.0
What steps should an office take when an application for postponement is made?,"Upon receiving an application for postponement, the office shall inquire into the application, write to the office in which the case has been filed, and inform them of the requested postponement or disposal of the case, indicating the days within which the case will be disposed. A receipt of the response must be obtained.",Muluki-Ain-General-Code-en.pdf,"According to the Constitution of Nepal (2017) and the Rules of Procedure and Conduct of Business of the Parliament of Nepal (2017), when an application for postponement is made, the following steps should be taken by the office:

1. **Verification of the application**: The office should verify the application for postponement to ensure that it is in order and complete (Article 80, Constitution of Nepal, 2017).
2. **Notification to the concerned parties**: The office should notify the concerned parties, including the applicant, the respondent, and the court, about the application for postponement (Rule 23, Rules of Procedure","The office shall take the following steps: (a) The office shall set aside the date fixed for the examination of the case and fix a new date for the examination of the case, and (b) The office shall also set aside the date fixed for the service of the process of examination of the case and fix a new date for the service of the process of examination of the case. [Source: Muluki-Ain-General-Code-en.pdf]",0.23841059602649012,0.2878787878787879,0.4367814722334887,0.5650127149945787,0.59979355,0.642764,2.0,4.0
"According to the given passage, what is Nepal's per capita income in PPP terms?","Nepal's per capita income in PPP terms is $2,748.",Sustainable-Development-Goals-Progress-A-1684555333_67.pdf,I couldn't find any information about the passage you are referring to. Could you please provide the passage or more context about the question? I'll do my best to answer it accurately.,"Nepal's per capita income in PPP terms is US$ 1,240. [Source: Nepal-Statistical-Yearbook-2023.pdf]",0.0,0.6206896551724137,0.13956033025696668,0.4502377986362873,-0.034041166,0.8371215,3.0,2.0
यो ऐन वा यस ऐन अन्िगनि बनेका तनयमहरू बमोजजम आयोगले गरेको कुनै काम कारबाहीका सम्बन्धमा कानूनी कारबाही चलाइने हुँदैन ?,"आयोगका पिातधकारी, कमनचारी वा आयोगले खटाएको कुनै पतन व्यजक्तले यो ऐन वा यस ऐन अन्िगनि बनेका तनयमहरू बमोजजम असल तनयिले गरेको कुनै काम कारबाहीका सम्बन्धमा तनजहरूउपर कुनै कानूनी कारबाही चलाइने छैन ।",आदिवासी-जनजाति-आयोग-ऐन-२०७४.pdf,"नेपालका कानुनी व्यवस्था अनुसार, किसी ऐन वा यस ऐन अन्िगनि बनेका त्यो काम कारबाहीका सम्बन्धमा कानूनी कारबाही चलाइने हुँदैन, यदि त्यो काम कारबाहीका को ""कार्यकारी"" कार्य हो । कार्यकारी कार्य होण्या लागे तो कानुनी कारबाही नै हुन",हो । यो ऐन वा यस ऐन अन्िगनि बनेका तनयमहरू बमोजजम आयोगले गरेको कुनै काम कारबाहीका सम्बन्धमा कानूनी कारबाही चलाइने हुँदैन । यस ऐन अन्िगनि बनेका तनयमहरू बमोजजम आयोगले गरेको कुनै काम कारबाहीका सम्बन्धमा कानूनी कारबाही चल,0.0,0.0,0.5990707734660552,0.7278601251319555,0.7194257,0.9753818,1.0,2.0
"What details must a variation order of a construction work include, and who must certify it?","A variation order of a construction work must include the following details: (a) whether the drawing, design, and specifications need to be changed or not, and where the change is to be made, whether the basic nature or scope of the construction work will be changed or not, (b) technical justification and reason for the variation quantity of work, (c) if it affects the cost estimate, the percentage thereof, and (d) whether it is included in the approved budget and program or not. The order must be certified by the chief of the public entity who has authority to approve the variation, pursuant to Section 54 of the Act.",Public-Procurement-Regulation-2064-en.pdf,"According to the Nepal's Construction Act 2016, a variation order in a construction project must include the following details:

1. The variation order must specify the scope of work to be done, the cost of the work, and the date by which the work is to be completed (Section 34, Construction Act 2016).
2. The variation order must be in writing and signed by the authorized representative of the employer (Section 34, Construction Act 2016).
3. The variation order must be supported by a detailed estimate of the cost of the work, including the materials, labor, and other expenses (Section 34","A variation order must include the details of the variation, the amount of the variation, the date of the variation, and the date of the completion of the work. The variation order must be certified by the chief of the concerned public entity, and a copy of the variation order must be given to the contractor. [Source: Public-Procurement-Regulation-2064-en.pdf]",0.3222748815165876,0.38372093023255816,0.7538862150379497,0.41786055646037507,0.8647312,0.7997321,2.0,1.0
कानूनी दस्तावेजले De bonis defuncti को कुनै अर्थ व्यक्त गरेको छ?,ओसारपसार गरिएका वस्तु,Legal-Maxims-कानूनी-सूक्तिहरू.pdf,"नेपालका कानूनी दस्तावेजमा 'द बोनिस डेफुन्टी' को 'विलुप्त व्यक्ति' या 'विलुप्त व्यक्ति' का अर्थ हो सकता है। 

द बोनिस डेफुन्टी एक प्रकारको हो जो नेपालका संविधानका 16 अनुच्छेद 39 मा वर्णन गरेको छ, जो कि विलुप्त व्यक्ति के बारेमा बोल",कानूनी दस्तावेजले De bonis defuncti को अर्थ हो कि व्यक्ति मृत्यु भएको बादको संपत्ति को व्यवस्थापन गर्ने व्यवस्था। यसको अर्थ हो कि मृत्यु भएको व्यक्ति को संपत्ति को व्यवस्थापन गर्ने व्यवस्था कुनै विशेष तरिका मा गरिन्छ। [Source: Legal-Maxims-कानूनी-सूक्तिह,0.0,0.0,0.061621652229900604,0.05578762576902925,0.33539745,0.36299652,2.0,1.0
What percentage of the total SDG indicators identified by Nepal for SDG 1 had data available for tracking in 2019?,Around 35% of the total 30 indicators for SDG 1 had data available for tracking in 2019.,National-Framework-For-Leave-No-One-Behi-LNOB-UPDATED-REPORT-Sept-3-2023-updated.pdf,I am unable to verify the percentage of total SDG indicators identified by Nepal for SDG 1 that had data available for tracking in 2019.,"According to the passage, 71.4% of the total SDG indicators identified by Nepal for SDG 1 had data available for tracking in 2019. [Source: Nepals-SDG-Status-and-Roadmap-2016-2030-1684515827_15.pdf]",0.6190476190476191,0.5384615384615384,0.5826092611676004,0.4197661979903034,0.6651727,0.69237244,1.0,4.0
Who makes the final decision regarding the disqualification of any member of the Provincial Assembly?,The final decision is made by the Constitutional Bench of the Supreme Court if there is a question about whether any member of the Provincial Assembly is disqualified or has ceased to possess any of the qualifications required by Article 178.,Constitution-en.pdf,"According to Article 162 of the Constitution of Nepal 2017, the President of Nepal makes the final decision regarding the disqualification of any member of the Provincial Assembly. (Source: The Constitution of Nepal 2017, Article 162)","The final decision regarding the disqualification of any member of the Provincial Assembly is made by the Provincial Assembly itself, as per the provisions of the Constitution and the law. [Source: Constitution-en.pdf]",0.33766233766233766,0.37333333333333335,0.7072738578818486,0.7362515813724244,0.66052055,0.7844982,1.0,2.0
